Title,Description,Location,Impact,Complexity,QuickWin,Category
Async render promise dropped,`render()` is declared async in CreaturesRenderer so shell callers ignore pending work causing race conditions when search/mode triggers another render.,src/apps/library/view/creatures.ts:L122-L144,Stability,Medium,No,Lifecycle
Manual YAML fallback parsing,Renderer reimplements frontmatter parsing with regex + manual extraction instead of shared service, increasing IO and inconsistency risk.,src/apps/library/view/creatures.ts:L21-L51,Data Integrity,Medium,No,IO Coupling
Debug console noise,CreaturesRenderer logs parsed metadata and counts on every render, flooding console and leaking data context.,src/apps/library/view/creatures.ts:L37-L44;L139-L142,Dev Ergonomics,Low,Yes,Logging
Silent JSON parse failures (items),Import path swallows JSON parse exceptions and proceeds with partial data without alerting user.,src/apps/library/view/items.ts:L69-L102,Data Integrity,Medium,No,Error Handling
Dynamic serializer import per save (items),Each import edit lazily imports `itemToMarkdown` creating duplicate bundle loads and complicating testability.,src/apps/library/view/items.ts:L69-L87,Performance,Low,Yes,Architecture
Silent JSON parse failures (equipment),Equipment import replicates swallow pattern so malformed frontmatter yields missing data silently.,src/apps/library/view/equipment.ts:L52-L104,Data Integrity,Medium,No,Error Handling
Dynamic serializer import per save (equipment),Equipment import re-imports serializer within modal callback rather than reusing module scope.,src/apps/library/view/equipment.ts:L64-L87,Performance,Low,Yes,Architecture
Terrain listener duplication risk,Render rebuild attaches many per-input listeners each render without diffing; long sessions risk stale closures and memory churn.,src/apps/library/view/terrains.ts:L66-L126,Performance,Medium,No,UI Structure
Region encounter parsing lacks validation,Numeric parse accepts invalid values and leaves undefined without user feedback, risking accidental data loss.,src/apps/library/view/regions.ts:L57-L91,Data Integrity,Low,Yes,Validation
Preset import marker weak guarantee,`shouldImportPluginPresets` logs marker creation failures but still reports success, so imports may rerun every startup.,src/apps/library/core/plugin-presets.ts:L107-L122,Stability,Low,No,IO Coupling
Library tests limited to shell,Vitest suite mocks all renderers leaving import, serializer and watcher flows untested.,tests/library/view.test.ts:L1-L67,Test Coverage,Medium,No,Test Gap
Creature serializer mega-file,`creature-files.ts` is a 465 line monolith (top hotspot) mixing schema and rendering logic.,src/apps/library/core/creature-files.ts,Dev Ergonomics,High,No,Complexity
